> EU\AF
> OK/PA
144.454 40.847
145.077 41.319
145.710 41.788
146.198 42.076
146.690 42.362
147.345 42.685
148.340 43.208
149.311 43.721
150.339 44.187
150.877 44.447
151.419 44.704
152.240 45.158
152.880 45.529
153.528 45.897
154.195 46.440
154.664 46.853
155.141 47.263
155.742 47.725
156.353 48.183
157.024 48.659
157.568 49.107
158.121 49.552
158.644 49.855
159.174 50.154
159.877 50.855
160.599 51.488
160.945 52.159
161.584 52.654
162.458 53.003
162.790 53.625
163.282 54.347
163.670 54.779
164.066 55.209
> NA/PA
164.066 55.209
164.847 54.957
165.771 54.588
> NA/PA
166.407 54.237
167.413 53.906
168.188 53.569
> NA/PA
168.836 53.208
169.752 52.855
170.700 52.498
171.847 52.026
172.964 51.684
174.219 51.403
175.571 51.108
176.720 50.896
177.680 50.698
178.498 50.619
179.688 50.506
-179.202 50.496
-178.480 50.490
-177.758 50.484
-177.088 50.496
-176.223 50.588
-175.629 50.745
-174.907 50.826
-174.119 50.896
-173.328 50.964
-172.484 51.069
-171.634 51.171
-170.897 51.306
-170.159 51.439
-169.378 51.632
-168.972 51.740
-167.990 52.001
-166.819 52.257
-166.108 52.453
-165.390 52.644
-164.665 52.818
-163.934 52.988
-163.177 53.180
-162.413 53.367
-161.664 53.496
-160.910 53.621
-160.129 53.741
-159.344 53.855
-157.986 54.101
-157.067 54.318
-156.138 54.527
-155.239 54.785
-154.160 55.239
-153.164 55.610
-152.227 56.058
-151.218 56.309
-150.547 56.499
-150.081 56.623
-149.220 56.925
-148.257 57.347
-147.449 57.832
-146.759 58.352
-146.264 58.814
-145.756 59.273
> NZ\SA
-76.006 -45.659
-75.821 -44.849
-75.782 -44.051
-75.632 -43.648
-75.558 -42.972
-75.402 -42.285
-75.397 -41.826
-75.392 -41.367
-75.189 -40.863
-75.195 -40.359
-75.128 -39.813
-75.149 -39.564
-74.988 -39.068
-74.836 -38.542
-74.655 -38.138
-74.596 -37.563
-74.442 -36.725
-74.262 -36.165
-73.897 -35.578
-73.675 -34.888
-73.246 -34.290
-72.938 -33.837
-72.861 -33.359
-72.889 -32.742
-72.762 -32.319
-72.678 -31.531
-72.618 -30.965
-72.600 -30.190
-72.555 -29.536
-72.433 -28.901
-72.170 -28.278
-71.958 -27.755
-71.847 -27.248
-71.753 -26.652
-71.628 -25.840
-71.524 -25.093
-71.466 -24.263
-71.390 -23.523
-71.348 -22.758
-71.307 -21.965
> NZ\AP
-71.307 -21.965
-71.249 -21.262
-71.323 -20.758
-71.362 -20.249
-71.487 -19.811
-71.746 -19.298
-72.266 -18.722
-72.737 -18.257
-73.400 -17.747
-73.949 -17.374
-74.609 -16.823
-75.292 -16.330
-75.916 -15.736
> NZ\SA
-75.916 -15.736
-76.403 -15.219
-76.765 -14.843
-77.125 -14.467
-77.639 -13.914
-78.148 -13.387
-78.407 -13.014
-78.665 -12.641
-79.147 -11.890
-79.618 -11.291
-79.997 -10.560
-80.368 -9.921
-80.701 -9.434
-81.041 -8.665
-81.375 -7.988
-81.549 -7.306
-81.784 -6.655
-81.954 -6.003
-81.998 -5.253
-82.010 -4.504
-81.926 -3.721
-81.599 -3.245
> NZ\ND
-81.599 -3.245
-81.652 -3.000
-81.532 -2.437
-81.599 -1.814
-81.415 -1.095
-81.229 -0.284
-80.887 0.432
-80.574 1.053
-80.292 1.549
-79.791 2.074
-79.478 2.427
-79.165 2.780
-78.662 3.392
-78.342 4.066
-78.080 4.832
-77.910 5.505
-78.008 6.005
> ON/PS
128.462 25.458
128.978 25.859
129.360 26.191
129.785 26.671
130.211 27.213
130.523 27.709
130.649 28.136
131.097 28.318
131.309 28.451
131.467 28.751
131.524 28.859
131.628 28.987
131.760 29.392
132.073 29.818
132.402 30.215
132.630 30.493
132.824 30.754
> AM/PS
132.824 30.754
132.965 30.970
133.197 31.216
133.500 31.515
134.042 31.882
134.691 32.200
135.026 32.326
135.356 32.460
135.612 32.537
136.025 32.686
136.524 32.868
137.030 33.053
137.546 33.405
138.066 33.750
138.383 34.059
138.508 34.582
138.674 35.034
> PS/PA
138.359 9.379
138.574 9.953
138.710 10.649
138.813 11.121
139.483 10.901
140.100 10.946
140.772 10.858
141.608 11.058
142.122 11.285
142.961 11.403
143.097 11.569
> MA/PA
143.503 11.494
144.157 11.790
144.619 12.021
145.024 12.211
145.349 12.314
145.691 12.647
146.221 13.002
146.752 13.363
147.201 14.216
147.462 14.966
147.684 15.653
147.787 16.523
147.856 17.283
147.811 18.060
147.820 18.646
147.619 19.172
147.460 19.745
147.207 20.303
147.019 20.805
146.822 21.331
146.545 21.730
146.062 22.201
145.292 22.712
144.706 23.250
144.022 23.764
143.522 24.391
> PS/PA
143.522 24.391
143.096 24.909
143.098 24.918
143.075 25.612
143.231 26.329
143.260 26.737
143.243 27.463
143.172 27.941
143.002 28.519
142.748 28.975
142.507 29.621
142.473 30.128
142.224 30.711
142.159 31.315
142.099 31.983
141.994 32.558
142.012 33.252
141.858 33.704
141.883 34.213
> SC/AN
-76.483 -52.068
-76.312 -52.929
-76.020 -53.435
-75.720 -53.941
-75.239 -54.294
-74.749 -54.645
-74.120 -55.004
-73.480 -55.359
-72.995 -55.665
