network station location channel phase dist_min_res dist_max_res n_data mean std_dev coeff0 coeff1 coeff2 coeff3 year month day
DK TULEG -- BHZ P 4.77 96.83 502 -0.117974103586 1.14966276637 -1.40328370879 0.0446295400778 -0.000601438485336 3.47252393324e-06 2016 6 3
FR RUSF 01 BHZ P 1.03 97.45 282 2.76882624113 1.52338544189 1.99065855629 0.00722452125888 0.000413642174415 -4.1543260973e-06 2016 6 3
GB JSA -- BHZ P 3.18 93.13 147 0.38206122449 1.27817596504 0.691367344841 -0.102134490846 0.00254236712818 -1.56471276244e-05 2016 6 3
GB LRW -- BHZ P 8.5 97.2 111 0.405504504505 1.33736518351 0.323382236555 -0.113554105421 0.00332070789016 -2.20606656625e-05 2016 6 3
GB MCH1 -- BHZ P 6.03 98.04 401 0.344780548628 1.1699687375 3.46319204487 -0.265923606732 0.005398449328 -3.11854739988e-05 2016 6 3
GE APE -- BHZ P 1.01 97.62 301 -0.0675946843854 1.18007300135 -0.583543867782 0.105496331435 -0.00247825741653 1.48325190057e-05 2016 6 3
GE BKB -- BHZ P 2.83 88.35 178 2.00455617978 1.39663961101 0.755389546797 0.155310435408 -0.00346031549344 1.80851725024e-05 2016 6 3
GE BKNI -- BHZ P 0.91 97.43 259 0.178393822394 1.0945376211 0.744518219982 -0.0823284700318 0.00245133622713 -1.92642024318e-05 2016 6 3
GE BNDI -- BHZ P 0.25 87.21 516 0.529490310078 1.5076912672 0.886241187722 0.0287799283343 -0.00148721622103 7.27164927006e-06 2016 6 3
GE BOAB -- BHZ P 0.63 96.78 197 -0.0516751269036 1.544685899 -1.79171649851 0.255666043244 -0.00663172428554 4.46944469195e-05 2016 6 3
GE CISI -- BHZ P 0.4 92.2 456 -0.902050438596 1.33381561228 -0.480176931888 -0.0586222993108 0.00186682345907 -1.58641286663e-05 2016 6 3
GE CSS -- BHZ P 0.84 99.19 570 0.30190877193 1.16732038186 -1.17141858066 0.136509147624 -0.00257129165724 1.37774216175e-05 2016 6 3
GE DAG -- BHZ P 2.42 99.39 1211 -0.438335260116 1.07590424928 -1.8668340919 0.0963613679222 -0.00172824969603 9.03930294541e-06 2016 6 3
GE DAMY -- BHZ P 14.92 87.86 43 1.01162790698 1.8840975233 1.01162790698 0.0 0.0 0.0 2016 6 3
GE DSB -- BHZ P 12.16 92.37 123 0.686203252033 1.17709150416 1.27338662022 -0.101349130624 0.00248866169326 -1.5813291627e-05 2016 6 3
GE EIL -- BHZ P 0.97 97.9 708 0.502216101695 1.23267588434 -2.15547625684 0.17810671503 -0.00298339648066 1.5005148718e-05 2016 6 3
GE FAKI -- BHZ P 0.91 86.97 1173 -0.156121057118 1.55698098436 0.00528123760647 0.0546607762811 -0.00247553824526 1.94579630427e-05 2016 6 3
