event_id n event dist az channel stream loc time unc pol toang phase residual tot_wt dist_wt st_q_wt T50 Aref T50Ex Tdom s/n_HF s/n_BRB mB Mwp T0 Mwpd status
1053543731406 415 2 77.53 248.4 IU_SAML_00_BHZ HF L 2003.05.21-19:14:04.20 0.250 0 17.2 P -2.16 0.661 0.661 1.000 0.000 8.159 0.000 -1.000 3.720 1.404 -9.000 -9.000 11.000 -9.000 s/n_BRB_low
1053544392321 413 4 2.82 6.3 GE_MAHO_--_BHZ HF L 2003.05.21-19:13:55.10 0.100 -1 46.7 P -1.33 1.000 1.000 1.000 1032.121 1619.176 0.637 -1.000 7.315 0.812 -9.000 -9.000 25.197 -9.000 s/n_BRB_low
1053543731406 412 2 75.03 237.8 US_MIAR_--_BHZ HF L 2003.05.21-19:13:51.88 0.050 -1 17.8 P -0.30 0.678 0.678 1.000 0.000 51.238 0.000 -1.000 4.704 1.122 5.814 -9.000 10.950 -9.000 s/n_BRB_low
1053543731406 408 2 72.20 239.8 US_OXF_--_BHZ BRB L 2003.05.21-19:13:33.79 0.075 -1 18.4 P -1.74 0.699 0.699 1.000 0.000 88.112 0.000 -1.000 5.271 1.594 6.039 -9.000 10.950 -9.000 s/n_BRB_low
-1 406 -1 -1 -1 GE_KWP_--_BHZ HF L 2003.05.21-19:13:03.70 0.100 0 -1.0 -1 -1 -1 -1 1.000 0.000 67.385 0.000 -1.000 5.017 0.741 -9.000 -9.000 11.150 -9.000 s/n_BRB_low
1053543731406 403 2 61.24 301.1 US_SSPA_--_BHZ BRB L 2003.05.21-19:12:25.88 0.200 1 21.0 P 0.24 0.777 0.777 1.000 0.000 38.023 0.000 -1.000 6.050 0.969 5.583 -9.000 11.050 -9.000 s/n_BRB_low
-1 399 -1 -1 -1 CN_GAC_--_BHZ HF L 2003.05.21-19:12:01.05 0.075 -1 -1.0 -1 -1 -1 -1 1.000 95.103 274.132 0.347 109.749 2.409 3.444 -9.000 -9.000 -1.000 -9.000 s/n_HF_low
1053543731406 398 2 55.77 302.9 US_LBNH_--_BHZ HF L 2003.05.21-19:11:48.46 0.100 -1 22.3 P 0.92 0.816 0.816 1.000 8.361 24.771 0.338 -1.000 3.289 0.851 -9.000 -9.000 10.575 -9.000 s/n_BRB_low
1053543731406 395 2 52.64 60.5 KN_EKS2_--_BHZ HF L 2003.05.21-19:11:23.73 0.050 -1 23.0 P -1.12 0.838 0.838 1.000 11.053 26.647 0.415 -1.000 12.306 0.882 -9.000 -9.000 12.225 -9.000 s/n_BRB_low
1053543731406 394 2 49.77 314.7 CN_SCHQ_--_BHZ HF L 2003.05.21-19:11:02.70 0.300 -1 23.7 P -0.50 0.859 0.859 1.000 66.468 208.680 0.319 -1.000 6.154 0.466 5.569 -9.000 12.401 -9.000 s/n_BRB_low
1053543731406 392 2 48.32 48.5 KZ_VOS_--_BHZ HF L 2003.05.21-19:10:50.94 0.050 1 24.1 P -1.11 0.869 0.869 1.000 3.854 20.182 0.191 -1.000 13.174 0.733 -9.000 -9.000 12.950 -9.000 s/n_BRB_low
1053543731406 389 2 47.11 48.4 KZ_ZRN_--_BHZ HF L 2003.05.21-19:10:41.82 0.100 1 24.4 P -0.82 0.878 0.878 1.000 0.000 52.039 0.000 -1.000 26.478 1.076 5.702 -9.000 12.950 -9.000 s/n_BRB_low
1053543731406 386 2 42.04 2.4 IU_KBS_00_BHZ HF L 2003.05.21-19:10:05.47 0.300 1 25.6 P 3.34 0.914 0.914 1.000 0.000 37.808 0.000 -1.000 3.569 1.362 5.324 -9.000 -1.000 -9.000 s/n_BRB_low
1053543731406 385 2 42.05 2.4 GE_KBS_00_BHZ HF L 2003.05.21-19:10:05.47 0.300 1 25.6 P 3.25 0.914 0.914 1.000 0.000 37.808 0.000 -1.000 3.569 1.362 5.324 -9.000 -1.000 -9.000 s/n_BRB_low
1053543731406 383 2 40.97 43.7 II_ARU_00_BHZ HF L 2003.05.21-19:09:51.79 0.150 1 25.8 P -1.56 0.922 0.922 1.000 0.000 176.139 0.000 -1.000 15.374 1.582 -9.000 -9.000 12.950 -9.000 s/n_BRB_low
-1 377 -1 -1 -1 US_NEW_--_BHZ BRB L 2003.05.21-19:09:02.23 0.050 0 -1.0 -1 -1 -1 -1 1.000 49.245 28.329 1.738 -1.000 6.947 1.030 -9.000 -9.000 49.404 -9.000 s/n_BRB_low
1053543075143 376 3 55.87 303.0 US_LBNH_--_BHZ HF L 2003.05.21-19:08:41.81 0.075 -1 26.7 S 4.29 0.000 0.815 1.000 7.740 24.312 0.318 -1.000 3.050 1.146 -9.000 -9.000 -1.000 -9.000 s/n_BRB_low
1053543731406 373 2 27.44 76.6 GE_MALT_--_BHZ HF L 2003.05.21-19:07:56.88 0.100 1 28.3 P 0.30 1.000 1.000 1.000 7.207 11.209 0.643 -1.000 3.960 0.849 -9.000 -9.000 41.322 -9.000 s/n_BRB_low
1053543731406 371 2 26.39 91.2 GE_KSDI_--_BHZ HF L 2003.05.21-19:07:46.73 0.250 1 28.5 P -0.20 1.000 1.000 1.000 28.498 50.846 0.560 -1.000 4.662 1.652 -9.000 -9.000 50.709 -9.000 s/n_BRB_low
-1 369 -1 -1 -1 UO_PIN_--_BHZ BRB - 2003.05.21-19:07:18.49 0.080 0 -1.0 -1 -1 -1 -1 1.000 3.849 5.060 0.761 5.526 0.673 4.187 -9.000 -9.000 -1.000 -9.000 s/n_HF_low
1053543731406 367 2 21.68 32.2 GE_SUW_--_BHZ HF L 2003.05.21-19:07:00.10 0.100 -1 34.5 P -1.21 1.000 1.000 1.000 64.171 152.283 0.421 -1.000 4.250 0.592 -9.000 -9.000 17.300 -9.000 s/n_BRB_low
-1 365 -1 -1 -1 US_BOZ_--_BHZ BRB L 2003.05.21-19:06:54.29 0.100 -1 -1.0 -1 -1 -1 -1 1.000 2.838 11.390 0.249 -1.000 3.019 1.765 -9.000 -9.000 -1.000 -9.000 s/n_BRB_low
1053543731406 364 2 18.87 347.9 II_ESK_00_BHZ HF L 2003.05.21-19:06:32.60 0.150 1 35.5 P 1.82 1.000 1.000 1.000 47.208 197.258 0.239 -1.000 14.844 1.439 5.256 -9.000 12.100 -9.000 s/n_BRB_low
1053543731406 363 2 18.72 56.2 GE_MLR_--_BHZ HF L 2003.05.21-19:06:30.50 0.150 -1 35.5 P 1.16 1.000 1.000 1.000 22.848 56.943 0.401 -1.000 18.899 0.851 5.372 -9.000 12.950 -9.000 s/n_BRB_low
1053543731406 361 2 17.76 90.6 GE_KRIS_--_BHZ HF L 2003.05.21-19:06:19.26 0.100 0 40.8 P 1.43 1.000 1.000 1.000 20.801 56.770 0.366 -1.000 6.742 1.872 5.460 -9.000 12.350 -9.000 s/n_BRB_low
1053543731406 359 2 17.46 83.3 GE_APE_--_BHZ HF L 2003.05.21-19:06:13.39 0.100 0 41.1 P -0.79 1.000 1.000 1.000 18.478 67.680 0.273 -1.000 7.353 0.634 5.297 -9.000 24.207 -9.000 s/n_BRB_low
1053543731406 358 2 17.24 90.6 MN_IDI_--_BHZ HF L 2003.05.21-19:06:12.31 0.150 1 41.3 P 0.88 1.000 1.000 1.000 315.645 891.058 0.354 -1.000 11.347 0.690 5.370 -9.000 12.900 -9.000 s/n_BRB_low
1053543731406 357 2 16.45 90.4 GE_SKD_--_BHZ HF L 2003.05.21-19:06:04.36 0.100 0 42.3 P 3.01 1.000 1.000 1.000 21.835 50.335 0.434 -1.000 5.400 0.581 -9.000 -9.000 11.835 -9.000 s/n_BRB_low
1053543731406 355 2 16.22 33.8 GE_MORC_--_BHZ HF L 2003.05.21-19:06:01.34 0.250 1 42.7 P 2.80 1.000 1.000 1.000 7.274 17.677 0.412 -1.000 3.824 0.302 -9.000 -9.000 -1.000 -9.000 s/n_BRB_low
1053543731406 354 2 16.15 42.5 GE_PSZ_--_BHZ HF L 2003.05.21-19:05:59.35 0.200 1 42.8 P 1.67 1.000 1.000 1.000 12.941 40.971 0.316 -1.000 7.447 0.772 -9.000 -9.000 25.056 -9.000 s/n_BRB_low
-1 351 -1 -1 -1 GE_MAHO_--_BHZ BRB L 2003.05.21-19:05:46.65 0.100 0 -1.0 -1 -1 -1 -1 1.000 3177.161 8539.402 0.372 -1.000 4.349 1.544 -9.000 -9.000 14.150 -9.000 s/n_BRB_low
-1 349 -1 -1 -1 US_MIAR_--_BHZ BRB L 2003.05.21-19:05:27.95 0.050 1 -1.0 -1 -1 -1 -1 1.000 0.000 56.627 0.000 -1.000 3.043 2.134 -9.000 -9.000 10.250 -9.000 s/n_BRB_low
1053543731406 347 2 12.77 7.5 GE_WLF_--_BHZ HF L 2003.05.21-19:05:12.26 0.100 0 46.3 P 0.23 1.000 1.000 1.000 64.209 75.177 0.854 -1.000 7.020 0.831 -9.000 -9.000 39.148 -9.000 s/n_BRB_low
1053543731406 346 2 11.81 15.5 II_BFO_00_BHZ HF L 2003.05.21-19:04:57.03 0.100 0 46.3 P -2.05 1.000 1.000 1.000 1112.952 2186.645 0.509 -1.000 6.807 0.890 -9.000 -9.000 26.334 -9.000 s/n_BRB_low
-1 345 -1 -1 -1 II_MBAR_00_BHZ HF L 2003.05.21-19:04:35.93 0.200 0 -1.0 -1 -1 -1 -1 1.000 49.075 95.411 0.514 -1.000 3.016 0.814 -9.000 -9.000 -1.000 -9.000 s/n_BRB_low
1053543731406 344 2 9.33 294.5 GE_MTE_--_BHZ HF L 2003.05.21-19:04:25.53 0.100 0 46.5 P 0.43 1.000 1.000 1.000 58.207 98.436 0.591 -1.000 8.878 1.154 5.710 -9.000 22.576 -9.000 s/n_BRB_low
1053543731406 342 2 7.66 83.1 MN_CLTB_--_BHZ HF L 2003.05.21-19:03:58.64 0.100 0 46.5 P -3.56 1.000 1.000 1.000 72.947 229.630 0.318 -1.000 9.925 0.738 -9.000 -9.000 16.975 -9.000 s/n_BRB_low
1053543075143 341 3 84.95 323.4 UO_PIN_--_BHZ HF L 2003.05.21-19:03:50.71 0.180 -1 16.6 P 1.48 0.608 0.608 1.000 13.042 53.477 0.244 -1.000 10.057 1.752 6.146 -9.000 12.840 -9.000 s/n_BRB_low
